Fiscal Year Ended,Tax Category,Tax or Fee,Amount Collected,Tax or Fee Sort Order
2015,Personal Income,Personal Income Tax,43709833323,1
2015,Corporation and Business,Business Corporations Article 9-A,2969705402,2
2015,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",26511684,3
2015,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",11037395,4
2015,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",36521507,5
2015,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",-308811,6
2015,Corporation and Business,"Light, Water, Power, Article 9, Section 186",6346854,7
2015,Corporation and Business,"Utilities, Article 9, Section 186-a",161632428,8
2015,Corporation and Business,"Telecommunications, Article 9, Section 186-e",381985062,9
2015,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",185262082,10
2015,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",0,11
2015,Corporation and Business,"Unrelated Business Corporations, Article 13",20279346,12
2015,Corporation and Business,"Clearing House Banks, Article 32",465085,13
2015,Corporation and Business,"Other Commercial Banks, Article 32",1278245232,14
2015,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",45131963,15
2015,Corporation and Business,"Insurance Corporations, Article 33",1257031816,16
2015,Corporation and Business,"Insurance, Direct Writings, Article 33-A",16474272,17
2015,Corporation and Business,"Lubricating Oils, Article 24",685,18
2015,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2015,Corporation and Business,"Petroleum Businesses, Article 13-A",1158332330,20
2015,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,12263327571,21
2015,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",58339907,22
2015,"Sales, Excise and Use","Motor Fuel, Article 12-A",428615217,23
2015,"Sales, Excise and Use",Petroleum Testing Fees,2816638,24
2015,"Sales, Excise and Use",Cigarette Tax,1261034103,25
2015,"Sales, Excise and Use",Tobacco Products Tax,45661183,26
2015,"Sales, Excise and Use",Cigarette Retail License Fees,7023620,27
2015,"Sales, Excise and Use",Cigarette Vending Machine Stickers,10200,28
2015,"Sales, Excise and Use",Alcoholic Beverage Tax,250882350,29
2015,"Sales, Excise and Use",Non-Refillable Beverage Containers,0,30
2015,"Sales, Excise and Use",Highway Use Truck Mileage Tax,102806709,31
2015,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,6087737,32
2015,"Sales, Excise and Use",Highway Use Fuel Use Tax,31505171,33
2015,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,0,34
2015,"Sales, Excise and Use",Passenger Car Rental Tax,74596446,35
2015,Property Transfer,Estate Tax,1108175825,36
